;;;;;;;;;;
MeinTable.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;1.0;6.0;0.167;11.846;135.769;0.676;1024;619;122;0;99.324;0
Standard;1.5;6.0;0.25;9.538;96.308;0.676;704;76;472;0;99.324;0
Standard;2.0;6.0;0.333;10.077;92.462;0.676;569;33;600;0;99.324;0
Standard;2.5;6.0;0.417;12.0;88.462;1.689;511;6;633;0;98.311;0
Standard;3.0;6.0;0.5;12.538;87.692;2.703;504;3;633;0;97.297;0
Standard;3.5;6.0;0.583;14.846;85.308;5.405;486;2;621;0;94.595;0
Standard;4.0;6.0;0.667;15.692;84.462;5.405;480;2;616;0;94.595;0
Standard;4.5;6.0;0.75;17.923;82.231;5.405;456;2;611;0;94.595;0
Standard;5.0;6.0;0.833;18.923;81.231;6.081;454;2;600;0;93.919;0
Standard;5.5;6.0;0.917;19.538;80.692;5.068;457;3;589;0;94.932;0
Standard;6.0;6.0;1.0;20.769;79.462;5.068;456;3;574;0;94.932;0
Standard;6.5;6.0;1.083;21.692;78.615;5.068;457;4;561;0;94.932;0
Standard;7.0;6.0;1.167;21.846;78.615;5.068;457;6;559;0;94.932;0
Standard;7.5;6.0;1.25;22.077;78.385;5.068;457;6;556;0;94.932;0
Standard;8.0;6.0;1.333;22.154;78.231;5.068;458;5;554;0;94.932;0
Standard;8.5;6.0;1.417;22.769;77.615;5.068;455;5;549;0;94.932;0
Standard;9.0;6.0;1.5;23.0;77.538;5.068;454;7;547;0;94.932;0
Standard;9.5;6.0;1.583;22.923;77.462;5.068;459;5;543;0;94.932;0
Standard;10.0;6.0;1.667;23.462;77.0;5.068;458;6;537;0;94.932;0
Standard;1.0;6.5;0.154;11.846;135.769;0.676;1024;619;122;0;99.324;0
Standard;1.5;6.5;0.231;9.692;96.154;0.676;704;76;470;0;99.324;0
Standard;2.0;6.5;0.308;10.154;92.385;0.676;571;33;597;0;99.324;0
Standard;2.5;6.5;0.385;12.231;88.231;1.689;510;6;631;0;98.311;0
Standard;3.0;6.5;0.462;12.538;87.692;2.703;504;3;633;0;97.297;0
Standard;3.5;6.5;0.538;14.846;85.308;5.405;486;2;621;0;94.595;0
Standard;4.0;6.5;0.615;16.231;83.923;5.405;477;2;612;0;94.595;0
Standard;4.5;6.5;0.692;17.923;82.231;5.405;456;2;611;0;94.595;0
Standard;5.0;6.5;0.769;18.923;81.231;6.081;454;2;600;0;93.919;0
Standard;5.5;6.5;0.846;19.538;80.692;5.068;457;3;589;0;94.932;0
Standard;6.0;6.5;0.923;20.769;79.462;5.068;456;3;574;0;94.932;0
Standard;6.5;6.5;1.0;21.692;78.615;5.068;457;4;561;0;94.932;0
Standard;7.0;6.5;1.077;21.923;78.462;5.068;458;5;557;0;94.932;0
Standard;7.5;6.5;1.154;22.077;78.385;5.068;457;6;556;0;94.932;0
Standard;8.0;6.5;1.231;22.231;78.231;5.068;456;6;555;0;94.932;0
Standard;8.5;6.5;1.308;22.846;77.615;5.068;453;6;550;0;94.932;0
Standard;9.0;6.5;1.385;22.923;77.462;5.068;459;5;543;0;94.932;0
Standard;9.5;6.5;1.462;22.846;77.462;5.068;461;4;542;0;94.932;0
Standard;10.0;6.5;1.538;23.462;77.0;5.068;458;6;537;0;94.932;0
;;;;;;;;;;
MeinTable.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;1.0;1.0;1.0;11.308;101.692;0.676;745;169;408;0;99.324;0
Standard;1.5;1.0;1.5;8.231;94.692;0.676;625;38;568;0;99.324;0
Standard;2.0;1.0;2.0;11.077;89.308;1.689;520;5;636;0;98.311;0
Standard;2.5;1.0;2.5;11.231;89.0;1.689;510;3;644;0;98.311;0
