;;;;;;;;;;
MeinTable.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;1.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;3.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;9.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;11.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;13.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;15.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;17.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;19.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;21.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;23.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;25.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;27.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;29.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;31.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;33.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;35.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;37.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;39.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;41.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;43.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;45.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;47.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;49.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;51.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;53.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;55.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;57.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;59.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;61.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;63.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;65.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;67.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;69.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;71.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;73.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;75.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;77.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;79.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;81.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;83.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;85.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;87.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;89.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;91.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;93.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;95.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;97.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;99.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;1.0;1.0;1.0;11.308;101.692;0.676;745;169;408;0;99.324;0
Standard;3.0;1.0;3.0;10.923;89.231;1.689;510;2;648;0;98.311;0
Standard;5.0;1.0;5.0;17.615;82.385;5.405;457;0;614;0;94.595;0
Standard;7.0;1.0;7.0;20.462;79.615;5.405;462;1;572;0;94.595;0
Standard;9.0;1.0;9.0;21.538;78.692;5.068;461;3;559;0;94.932;0
Standard;11.0;1.0;11.0;22.846;77.615;5.068;459;6;544;0;94.932;0
Standard;13.0;1.0;13.0;23.769;76.923;5.068;461;9;530;0;94.932;0
Standard;15.0;1.0;15.0;25.077;75.462;5.405;466;7;508;0;94.595;0
Standard;17.0;1.0;17.0;27.231;73.538;6.757;461;10;485;0;93.243;0
Standard;19.0;1.0;19.0;32.154;68.538;7.095;467;9;415;0;92.905;0
Standard;21.0;1.0;21.0;35.462;65.154;7.095;465;8;374;0;92.905;0
Standard;23.0;1.0;23.0;36.769;64.154;7.095;476;12;346;0;92.905;0
Standard;25.0;1.0;25.0;38.538;62.308;6.757;494;11;305;0;93.243;0
Standard;27.0;1.0;27.0;40.077;60.769;6.757;502;11;277;0;93.243;0
Standard;29.0;1.0;29.0;39.923;60.923;6.757;506;11;275;0;93.243;0
Standard;31.0;1.0;31.0;40.385;60.538;6.757;508;12;267;0;93.243;0
Standard;33.0;1.0;33.0;41.077;59.923;6.757;507;13;259;0;93.243;0
Standard;35.0;1.0;35.0;41.769;59.231;7.095;503;13;254;0;92.905;0
Standard;37.0;1.0;37.0;43.308;57.692;7.095;497;13;240;0;92.905;0
Standard;39.0;1.0;39.0;42.769;58.231;6.419;504;13;240;0;93.581;0
Standard;41.0;1.0;41.0;44.0;57.0;6.419;499;13;229;0;93.581;0
Standard;43.0;1.0;43.0;44.308;56.769;6.419;496;14;228;0;93.581;0
Standard;45.0;1.0;45.0;44.923;56.154;7.095;491;14;225;0;92.905;0
Standard;47.0;1.0;47.0;44.154;57.231;4.73;497;18;229;0;95.27;0
Standard;49.0;1.0;49.0;44.0;57.846;3.041;498;24;230;0;96.959;0
Standard;51.0;1.0;51.0;43.0;58.846;2.027;513;24;228;0;97.973;0
Standard;53.0;1.0;53.0;43.154;58.692;2.027;511;24;228;0;97.973;0
Standard;55.0;1.0;55.0;43.538;58.308;2.365;506;24;228;0;97.635;0
Standard;57.0;1.0;57.0;43.154;58.692;2.027;511;24;228;0;97.973;0
Standard;59.0;1.0;59.0;43.385;58.462;2.027;510;24;226;0;97.973;0
Standard;61.0;1.0;61.0;42.769;59.231;1.351;514;26;230;0;98.649;0
Standard;63.0;1.0;63.0;42.846;59.154;1.351;513;26;230;0;98.649;0
Standard;65.0;1.0;65.0;43.385;58.615;1.351;506;26;230;0;98.649;0
Standard;67.0;1.0;67.0;43.231;58.615;1.351;506;24;232;0;98.649;0
Standard;69.0;1.0;69.0;43.538;58.462;1.351;498;26;236;0;98.649;0
Standard;71.0;1.0;71.0;43.231;58.615;1.351;506;24;232;0;98.649;0
