;;;;;;;;;;
MeinTable.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;3.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;3.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.3;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.4;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.5;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;3.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;3.8;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;3.9;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.3;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.4;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;4.5;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;4.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.7;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;4.8;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;4.9;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;5.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.3;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.4;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;5.5;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;5.8;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;5.9;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;6.0;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;6.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.3;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.4;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;6.5;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;6.8;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;6.9;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;7.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;7.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;7.3;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.4;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.5;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;7.6;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;7.8;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;7.9;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.3;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.4;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.5;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;8.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;8.8;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;8.9;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.0;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.1;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.2;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.3;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;9.4;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.5;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;9.6;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.7;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.8;0.0;9.223372036854776E15;5.923;100.308;0.676;827;81;396;0;99.324;0
Standard;9.9;0.0;9.223372036854776E15;6.462;100.308;0.676;813;88;403;0;99.324;0
Standard;3.0;0.1;30.0;10.538;89.462;1.689;513;0;650;0;98.311;0
Standard;3.1;0.1;31.0;10.538;89.462;1.689;513;0;650;0;98.311;0
Standard;3.2;0.1;32.0;10.538;89.462;1.689;513;0;650;0;98.311;0
Standard;3.3;0.1;33.0;10.692;89.308;1.689;511;0;650;0;98.311;0
Standard;3.4;0.1;34.0;10.692;89.308;1.689;511;0;650;0;98.311;0
Standard;3.5;0.1;35.0;10.615;89.385;1.689;512;0;650;0;98.311;0
Standard;3.6;0.1;36.0;10.538;89.462;1.689;513;0;650;0;98.311;0
Standard;3.7;0.1;37.0;10.462;89.538;1.689;514;0;650;0;98.311;0
Standard;3.8;0.1;38.0;10.846;89.154;1.689;509;0;650;0;98.311;0
Standard;3.9;0.1;39.0;10.846;89.154;1.689;509;0;650;0;98.311;0
Standard;4.0;0.1;40.0;10.769;89.231;2.027;511;0;649;0;97.973;0
Standard;4.1;0.1;41.0;11.385;88.615;2.027;503;0;649;0;97.973;0
Standard;4.2;0.1;42.0;11.769;88.231;2.365;499;0;648;0;97.635;0
Standard;4.3;0.1;43.0;11.923;88.077;2.365;499;0;646;0;97.635;0
Standard;4.4;0.1;44.0;13.231;86.769;3.378;486;0;642;0;96.622;0
Standard;4.5;0.1;45.0;13.154;86.846;3.378;487;0;642;0;96.622;0
Standard;4.6;0.1;46.0;13.385;86.615;3.378;486;0;640;0;96.622;0
Standard;4.7;0.1;47.0;13.385;86.615;3.378;486;0;640;0;96.622;0
Standard;4.8;0.1;48.0;13.385;86.615;3.378;486;0;640;0;96.622;0
Standard;4.9;0.1;49.0;14.154;85.846;3.378;480;0;636;0;96.622;0
Standard;5.0;0.1;50.0;14.077;85.923;3.378;481;0;636;0;96.622;0
Standard;5.1;0.1;51.0;14.308;85.692;3.378;479;0;635;0;96.622;0
Standard;5.2;0.1;52.0;14.231;85.769;3.378;480;0;635;0;96.622;0
Standard;5.3;0.1;53.0;14.231;85.769;3.378;480;0;635;0;96.622;0
Standard;5.4;0.1;54.0;14.462;85.538;3.378;478;0;634;0;96.622;0
Standard;5.5;0.1;55.0;14.385;85.615;3.716;480;0;633;0;96.284;0
Standard;5.6;0.1;56.0;14.538;85.462;3.716;482;0;629;0;96.284;0
Standard;5.7;0.1;57.0;14.538;85.462;3.716;482;0;629;0;96.284;0
Standard;5.8;0.1;58.0;14.615;85.385;3.716;483;0;627;0;96.284;0
Standard;5.9;0.1;59.0;16.769;83.231;4.73;469;0;613;0;95.27;0
Standard;6.0;0.1;60.0;16.769;83.231;4.73;469;0;613;0;95.27;0
Standard;6.1;0.1;61.0;16.923;83.077;4.73;469;0;611;0;95.27;0
Standard;6.2;0.1;62.0;16.923;83.077;4.73;469;0;611;0;95.27;0
Standard;6.3;0.1;63.0;17.077;82.923;4.73;468;0;610;0;95.27;0
Standard;6.4;0.1;64.0;17.846;82.231;5.068;466;1;602;0;94.932;0
Standard;6.5;0.1;65.0;18.231;81.846;5.405;464;1;599;0;94.595;0
Standard;6.6;0.1;66.0;18.154;81.923;5.405;466;1;598;0;94.595;0
Standard;6.7;0.1;67.0;18.308;81.769;5.405;466;1;596;0;94.595;0
Standard;6.8;0.1;68.0;18.385;81.692;5.405;466;1;595;0;94.595;0
Standard;6.9;0.1;69.0;18.385;81.692;5.405;466;1;595;0;94.595;0
Standard;7.0;0.1;70.0;18.385;81.692;5.405;466;1;595;0;94.595;0
Standard;7.1;0.1;71.0;18.692;81.385;5.405;465;1;592;0;94.595;0
Standard;7.2;0.1;72.0;19.308;80.769;5.068;467;1;582;0;94.932;0
