,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,0.7,10.5,0.067,66.538,46.923,20.946,378,175,57,0,79.054,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,4.35,2.35,1.851,72.538,33.615,26.351,236,80,121,0,73.649,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,4.35,2.35,1.851,71.692,34.615,25.676,246,82,122,0,74.324,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,4.35,2.35,1.851,74.077,32.077,27.703,218,80,119,0,72.297,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,4.35,2.35,1.851,74.462,31.923,27.703,216,83,116,0,72.297,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
Standard,4.35,2.35,1.851,73.769,32.385,27.703,219,80,122,0,72.297,0,,
,,,,,,,,,,,,,,
MeinTest.rounded_in_percent_with_empty_results,,,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time,,
